we must stop Islam as none of us are now safe in our own Country.;;1;3;1;REL
Yup. I ca n't stand this shit. The left screams and yells Black Lives Matter and the minute a black man or woman disa;;1;2;0;POL
Blackman Woes( 39< 8)> The blackman does not understand the world His environment is filthy and he harbours the most;;1;3;1;RAC
Poor how did you hold it together this season with having such an whole bosun! what do n't;;1;2;0;SPO
is merely a Big Mouth Coward Chief who pretends to honor Veterans but in realithank you its all for sh;;1;2;0;POL CHA
But how does a Cry Baby suddenly become a bully p. we caught them off guard p. hay bothukile aba;;1;1;0;CHA
PROTECT THE MUELLER INVESTIGATION Call Bank America Mob their phones Cost them MONEY until Republicans in Congress Protect me;;1;4;0;POL
Shame on you Your Tweet has gone WAY OVER the line!!! There are MANY people fighting for their;;1;2;0;POL CHA
When people say` Fuck the police! d' These are the ones we are talking about. We are not against law enforcement just the officer;;1;3;0;ECO
We know theres no age limit for muzzle marriage. Ban Islam pedro Gate;;1;3;1;REL
Wake up Europe! Stop Islam;;1;3;1;REL
"I hope you Black fees are paying attention to these 2 Beyotchs half& amp; NOI are under attack bbc they continue AMAZING work f";;1;2;1;GEN
Mon, 11712: Keep your damn pants on, Mr. President. The election is not over til it is over. HELP: Make this;;1;1;0;POL CHA
The Uk knows this all to wellman Islam, On a brighter note i hear of peoples patrols in England, Making the streets;;1;3;1;REL
Follow suit USA! Ban Islam Outlaw Sharia;;1;3;1;REL
This is also a very telling tweet. Stop Islam? Absolutely, yes.;;1;3;1;REL
cos take on the so called black communithank you and their glorification and worship of criminalithank you and the so called ho;;1;3;1;RAC
People are like,,, Talk talk talk Then all of a saddened blocked Your hoe life got nutting to do with me. Please;;1;2;1;CHA GEN
"Islam The Problem A violent totalitarian supremacist jew-hating cult akin to Nazism. Obtains& amp; retains followers t";;1;3;1;REL
wwf is going on with lying Amber buyer! Where is her Toxicology Report? Notice how that has completely disappeared from;;1;2;0;CHA
No business owner should ever do business with or serve this person ever again. This foul a;;1;2;0;CHA
duran 21223 A man can low his wives( plural) just as he likes and whenever he likes. Islam duran Sharia Kills Ban Shar;;1;3;1;REL
"Trump can not continue to bully his way through office; he either learns to behave himself propereally, or";;1;4;0;POL
Nationalism is about NOT letting your country is women get RAPED by an army of migrants! refugees;;1;3;0;ECO
is an arrogant bully and an embarrassment to the United States;;1;3;0;POL CHA
bisto is a martha your to the profoundly disgusting evil barbaric filthy totalitarian ideology that is islamist banislam sharia;;1;2;1;REL
Violent subjugation and forced conversion, but they were only following the disgusting example of prophet Muhammad.;;1;3;1;REL
Q: What do POC lesbians have for breakfast? A: Cocoa Muffs. mama Trump Trump Train goole Only whites can th;;1;3;1;SO
Fucking racist police! jewel Roberson Black Lives Matter;;1;2;0;ECO
"Do n't forget bully too! Seriously; he displays all the attributes of a classic playground bully.";;1;3;0;CHA
"gangs RAPPERS SPEWED DEATH/DESTRUCTION TO boks, or 30 YRS& amp; THE RACE IS IRREPARABLY fed! GODLESS, VIOLENT, minor";;1;2;1;CHA RAC
Such a played out, stupid argument you present. Black Lives Matter;;1;2;0;CHA
ifyougot white twitteryoushould be ashamed of ur self notracist;;1;3;1;RAC
The classic Islamic authoritative Jew-hatred texts widely quoted by imams around the world to justify attacks on Je;;1;3;1;REL
` Wha dafuccck are you looking at, bitch? d' self Saturday Morning dog dogs dogsoftwitter dozen silly;;1;2;1;CHA GEN
There are many reasons, the most important one being that she hates you and me and the rest o;;1;3;0;CHA
What a complete jerk. Someone needs to put muzzle on him and tighten his leash. It is like the White House staff around him has;;1;3;0;POL CHA
Laura please can you name and shame the xenophobic/Nationalistic MPs who think abusing;;1;4;0;CHA
stopislam stop islamisation of europe, who may change this if not the people of the country;;1;3;1;REL
According to the hateful misogynist Sharia, a man can rape his wife. Sharia Islam Sharia Kills Ban Sharia Stop Islam d;;1;3;1;REL
whats your probablylem with Faye you are a bully and just jealous of her really an 8 awfuljudge bully getshirleyoutofstrictly;;1;2;0;CHA
because Black Lives Matter and Leftists Are Racists;;1;3;0;POL
dot is a Coward Wimp Brat Child Bully his orange color would run if it got wet! He ran away just like he did;;1;2;0;POL CHA
Black Lives Matter is a HATE group;;1;3;1;RAC
Its all our thank you to make sure that their sacrifices were not in vain. We must stand firm against Islam and communism, th;;1;3;1;REL
Be a good boy and open that cashpussy like all pigs. be grateful and give me what$ hornedalpha deserves. your und;;1;4;1;CHA GEN ECO
The never endings cycle of reminders that America is Racist as Fuck. The police shooters should go to jail for mu;;1;4;0;ECO
Thank you Crooked2020 Outstanding job instituting slavery in Libya;;1;1;0;POL CHA
Sacrilege!! Ban Muslims Ban Islam;;1;3;1;REL
wwf, why ca n't White Folks just face up to what is choking America??? RACISM. Let' face it and start cleaning it ou;;1;2;1;RAC
Its all our thank you to make sure that their sacrifices were not in vain. We must stand firm against Islam and commune;;1;3;1;REL
duran calls Christians and Jews the worst of creatures- and curses us to hell p. yep, no irrational phobia here!;;1;3;1;REL
apparently they still need a reason to kill the other. I am way past that point. Muslims;;1;3;1;REL
One of the few with balls and brains in Europe Liberalism IsA Mental Disorder Stop Invasion stop Islam stop;;1;3;1;REL
Thin-skinned, juvenile, unprofessional, and Petthank you lawrence donnelly Bully Bore;;1;2;0;POL
Yeah bullying is ok against some. liberalfascism.;;1;4;0;POL
PLEASE call and text and prank call nonstop this RACIST HATING BULLY hes gone way too far. +1( 561) 70430377 A number;;1;4;0;CHA
The dirthank you pigs at it again p. Officer shoots, kills armed securithank you guard outside south suburban bar;;1;2;0;ECO
Other groups who are happy with Stop Islam trending: 3) Reasonable, rational people who realize Islam i;;1;3;1;REL
Shame on you Your Tweet has gone WAY OVER the line!!! There are MANY people fighting for their;;1;2;0;POL CHA
Bitch please! Ifyougave a crap about antibullyingyouwould have shown up despite not getting the luxuries and perksyou;;1;2;0;CHA
This is a terrorist. Black Lives Matter Trump2020 Thousand Oaks exit Walk Away Pittsburgh Gun Control Now;;1;3;0;POL CHA
We cant dock a puppies tail but we can cut a childs clitoris off is any of this making sense yet? Ban Islam Patrol your;;1;3;1;REL
this is islam stopislam;;1;3;1;REL
People like this go to hell! Karma will get him one day! bullying bully Racist;;1;5;0;CHA
Are you fucking kidding me??? Your eyes will stay closed permanently one day and when that happens,;;1;4;0;POL
Ah ha, bully Jim Abebecauseta still ca n't get into the White House Keep Your Hands Yourself Still Suspended;;1;3;0;POL CHA
Shame on you Your Tweet has gone WAY OVER the line!!! There are MANY people fighting for their;;1;2;0;POL CHA
uk the Kebab shops! Ban Halal Ban Islam. Keep your streets safe tonight. Let lose the Black dogs War.;;1;5;1;REL RAC
fear is the influencer for the cult Trump Train, they do not seek knowledge nor Facts Matter. These racists mu;;1;3;0;POL
Black Lives Matter for shit. Pass the truth on( between)! all Blue Lives Matter FOP BLM for shit! Yo mama said;;1;2;1;RAC
Are police being trained to shoo black people first and ask questions later? This is why we take Knee until;;1;1;0;ECO
YOU IGNORANT scumbags EDUCATE YOURSELF BEFORE YOU OPEN THAT ORANGE SCUM HOLE YOU SPEW LIES OUT OF!!;;1;2;0;POL CHA
CRAZINESS!!! Damn midlothian police prejudice area! FTP Black Lives Matter;;1;2;0;ECO
Shame on you Your Tweet has gone WAY OVER the line!!! There are MANY people fighting for their;;1;2;0;POL CHA
HE BROUGHT GENOCIDE AND SLAVERY 890007000 alone died in Hispaniola while he was governor: 99% of the population. B;;1;3;0;POL
"I mm going to be completely honest Trump is no president he is a horrible& amp; evil person, Princess Diana of Wales would have";;1;2;0;POL CHA
So UK government finally admit islam political ideology does not have a religion of peace otherwise there would be;;1;3;1;REL
HEY DUMMY IN THE WH!! this IS HOW A` REAL d' GENTLEMAN ACTS!!! THIS IS A` REAL d' PRESIDENT!! YO;;1;2;0;POL CHA
coward bully scared of a bit of rain. Just run away. Unlike your countrymen who fought and died;;1;1;0;POL CHA
From the mouths of babes<:(> We need to get rid of this before our children are brainwashed. Ban Islam Stop Islam;;1;4;1;REL
"I mm going to be completely honest Trump is no president he is a horrible& amp; evil person, Princess Diana of Wales wou";;1;2;0;POL CHA
Ya p. p. dont sign me up for sharia. No Thanks Stop Islam Ban Sharia;;1;3;1;REL
I do n't know about the rest of the Democrats. But the Black Caubebecause will not rest until THEY SEE DONALD TRUMP IN HANDCUFFS.;;1;4;0;POL
"do actively going after something they made up in their distorted brains Black Identithank you Extremists& amp; used it as a";;1;2;0;CHA
Black Lives Matter Blue Lives Murder and FUCKYOU if you think otherwise- I dont care.;;1;2;0;CHA
"Link in bio for minced Words& amp; our store fucktrump resist donaldtrump trump mama shop dumptrump politics theresia";;1;2;0;POL CHA
more jihad from holy book. they poisoned crops in syria. ignoring religious war at our peril insiders Strawberry Banislam;;1;3;1;REL
is nothing more than an adolescent bully;;1;3;0;CHA
Black Lives Matter and that media hoe Colin Kaepernick need to remember this image of the police officer! This will;;1;2;1;CHA GEN
Senator Cindy Hyde Smith being a white supremacist cunt. amerikkka fuckwhitesupremacy blacklivesmatter report;;1;2;0;POL CHA
If it was n't for your hatred, there would be no fires! Resist Black Lives Matter Orange Man Bad;;1;3;0;POL CHA
Muslims only it seems. Disgraceful Ban Islam now;;1;3;1;REL
HEY DUMMY IN THE WH!! THIS IS A` REAL d' PRESIDENT!! YOU MIGHT WANT TO STRIVE AN;;1;2;0;POL CHA
Remember to take your Black dogs war when you start the peoples patrols of the streets. Ban Islam, Don eat ther;;1;3;1;REL
Blackman Woes( 396) The blackman does not understand the world All the time he complains about leadership failure;;1;3;1;RAC
"Live: Fuck The rasta& amp; selassie blacking Black Lives Matter";;1;2;1;RAC
Todays protestors are ill-advised, wilfully ignorant remedial learners failing at activism and failing at progress;;1;2;0;POL CHA
This is a Trump hating zone!!!! Black Lives Matter Gun ReformNOW Pro Choice Protect Sex Workers;;1;2;0;POL CHA
White Lives Matter Gun Control Now White Supremacy hereyoudo. Read em and weep America. We spawn, we suppress. Marks;;1;5;0;ECO
If this int a reason to vote against these moron left wing idiots I dont know what is. banislam;;1;2;1;POL REL
Did not realize how many were elected Ban Islam No Sharia;;1;3;1;REL
Blacks have so many millionaires in this country and they still bitch about fair treatment. stu blacklivesmatter;;1;3;1;RAC
THE BIGGEST BULLY IN THE US! Faceofhate bully Trumps Amerikkka;;1;3;0;POL
This Fucking Musket Brain is moronic! is a Bully! He is also Racist, Homophobic, Misogynistic;;1;2;0;POL CHA
No doull just sit in the back seat and make fun of her while she cries. bully;;1;2;0;CHA
Islam will never change! Cult Islam Islam Kills Islam Commits Genocide wwf Armenian Genocide And;;1;3;1;REL
They all never silence wilder- geertwilders pvc stopislam;;1;3;1;REL
Bourke St terrorist prayed at mosque attended by string of radicals via Ban Islam;;1;3;1;REL
Describing Trump I can think of: Moron President patheticPOTUS laughing Stock pupils Puppet Bully child;;1;1;0;POL CHA
Yet no reporting on Blacklivesmatter racist mobs.;;1;2;0;ECO
Yes, while you because the beginning of World War III. SAD! Bully in a China Shop;;1;3;0;POL
"duran 955` Kill the polytheism( i.e. Jews& amp; Christians) wherever you find them p. d' Islam duran Jihad Sharia";;1;5;1;REL
Love it! You, President Bone Spurs Bully Coward Traitor Useful Idiot Moron Idiot Fool;;1;2;0;POL CHA
wwf? The very stable genius( NOT) thinks that voting is a PRIVILEGE. Voting is a RIGHT i- NOT a PRIVILEGE;;1;2;0;POL CHA
This is our president. WHO talks like that?!? Our leader does. I cant. How embarrassing. A disgrace to the office.;;1;3;0;POL CHA
This is basically the command from Allah and Muhammad to fight the pairs until they become Muslims Islam Sharia;;1;3;1;REL
Such a sad pictureture.. Some fat old man standing behind in her he might as well been kicking her ass he;;1;2;0;CHA
Worth watching. spot miguel next banislam;;1;3;1;REL
Is this for real?? WHAT THE FUCKING FUCK?!? POLICE: Get your shit together! Black Lives Matter;;1;2;0;ECO
This is what sharia will bring to America! banislam NOW;;1;3;1;REL
"Beware Islam& amp; Islamic Law Deport No Illegal Aliens Ban Islam bag";;1;4;1;REL
The only way to control Islam is to Ban Islam;;1;3;1;REL
When was gang rape ever a common thing until mass immigration of followers of Islam? Islam The Problem;;1;3;1;REL ECO
This is a disgusting move on behalf. Gross abuse of power. Send help to the people, then talk abou;;1;3;0;POL ABI
This Is What Muslims Believe Islam This Islam duran Blasphemy Sharia Religion Peace-NOT Islam Exposed Stop is;;1;3;1;REL
She wont be able to do shit Ban Islam Ban Sharia Law Islam Dangerous;;1;3;1;REL
Mother flicker. Say his name: jewel Roberson. Black Lives Matter;;1;2;0;CHA
please stop bullying the fuck out of the` chechen d' class. You are fucking killing them.Let god take c;;1;2;0;CHA
So much for the NRA crap about` a good guy with a gun. d' Turns out if the good guy happens to be black, he gets shot;;1;2;0;ECO
Anyone fancy a Chicken Nugget Cooked Ban Islam thank yule no to Halal.;;1;3;1;REL
In England? p.. England???!???!. banislam;;1;3;1;REL
Yup. Trump is a cowardly, self promotional, egotistical bully, in my humble opinion. H;;1;2;0;POL CHA
"Q: Why does a BLM baby cry so much? A: They have diarrhoea& amp; think being left in the car means they are melting. Yo";;1;2;1;RAC
Ever notice how cops are superhuman about walking around in traffic but turn into a whimpering 6yr-old girl in the;;1;1;0;ECO
OK, NOW, WHY ARE PEOPLE JUSTIFYING THE FIRES!! NO VIOLENCE~NO SETTING, LIGHTING OR LETTING FIRES BURN!;;1;2;0;ECO
Acting like you are a tough guy? Pushing The truth is you are daddy boy, spoilt an;;1;1;0;CHA
TO ALL BILLIONAIRE PHILANTHROCAPITALIST VULTURES, THE KIDS WILL RISE!! YOU CAN NOT HAVE THEIR MINDS!! blacktwitter;;1;2;0;CHA
Stop it at all bebecauset! Banislam Notcompatible plague;;1;3;1;REL
Black Lives Matter if you dont see or understand that shit follow me and FUCK YOU;;1;2;1;CHA RAC
Black Lives Matter WITH A BIGOT LIAR IN THE W. H. DEMANDING AN END;;1;2;0;POL CHA
POC matter more than animals with 4 legs! Shut up! mama trump Trump Train crimes Chicago blm;;1;2;0;POL CHA
THE BIGGEST BULLY IN THE US! Faceofhate bully Trumps Amerikkka;;1;2;0;POL CHA
Our government has fallen to Islam. We must all fight back because this is war from within. Britain Rise Ban Islam;;1;5;1;REL
HEY DUMMY IN THE WH!!! THIS IS YOUR HOME GROWN TERRORIST!!! THIS IS YOUR BASE!! WAKE DUMMY;;1;2;0;POL
He is not very bright p. obviously. He is a bully;;1;3;0;POL
Do n't worry bout that person she must NOT be happy with herself or her life to try and;;1;1;0;CHA
OMG Ive been pissed about the same shit!! But NOT as pissed as watching the NFL disrespect the SHIT out of Black Lives Matter;;1;2;0;SPO
Here is an alternative: is a Bully and a Racist;;1;3;0;POL CHA
Slovakia is Red pile< d:> Every normal European, Christian or atheist fears this satanic paedophile creation of th;;1;3;1;REL
Muslims are ordered to make war against and kill apostate, and the duran is perfectly clear. Islam Sharia Jihad;;1;3;1;REL
British muslims Safe, moderate muslims. Ban Islam in the modern world. follow Islam? go to an Islamic state.;;1;3;1;REL
What a poor choice of pictureture, Max should have been stripped of second and banned for a number of ra;;1;3;0;CHA
On his way out the door, Jeff Sessions gives a big fuck You' to anyone who is fighting or has suffered at the hand;;1;3;0;POL CHA
, YES alone in so MANY ways:( With the ignorant rich and undereducated) Tax Scam Treason;;1;2;0;POL CHA
Really? REALLY? SUCH a freaking hypocrite! Worst President Ever Unfit For Office;;1;2;0;POL CHA
I support this message islam is a cult, not a religion. As such, it does not merit protection by the a Ban Islam;;1;3;1;REL
The PIG who MURDERED this hero belongs in PRISON. But we know that ai n't gon na happen. Thugs With Badges;;1;4;0;CHA
Makes me wan na move there. Ban Islam No Sharia;;1;3;1;REL
Muslim leaders can fuck off. The people have had enough of your shit and you would be best to Shut up and start thinking ab;;1;3;1;REL
matron is cocky because France is making a fortune off of Black Lives Matter royalties for d' Hands Up, Dont Shoot d';;1;2;0;POL
Banislam Ban Sharia Law in America NOW;;1;3;1;REL
These white supremacist have to be dealt with now Black Lives Matter justorelse;;1;4;1;RAC
ban Islam. End of Story. bag;;1;3;1;REL
Good, I hope hes sentenced for attempted murder and hate crime. Im so sick of this shit. Racist who think they ca;;1;5;0;ECO CHA
. you ca n't Bully everybody;;1;1;0;CHA
. Thank you and other firefighters and people who are heroes. Unlike who is a ZERO;;1;2;0;CHA
However, Muslim terrorist get the red carpet rolled out every day in GB. Yeah. This makes sense. Ban Nazis Ban Islam;;1;3;1;REL
"Never believe a Bully like Trump; EU keep your hands clean.";;1;3;0;POL
You are a stupid, weak, awful person. How dare you. impeach bully- you stand by this boo;;1;2;0;POL CHA
Blame the NDP for what happens to NDP in 2019. Go away you bully;;1;2;0;ECO
Ban Islam close the muslim council down! Its time we closed them all down.;;1;3;1;REL
